were	where
doss	does
stor	store
bredd	bread
bwed	bread
les	lets
mite	might
gets	gets
bdey	birthday
raizen	raisin
rapu	rape
aitu	aite
yo	your
wigins	wiggins
shuda	should've
han	han
well	we'll
yall	y'all
y'all's	y'all
yall's	y'all
y'alls	y'all
faker	faker
foony	funny
balzz	balls
erik	erick
erik	erik
erik	eric
scared	scared
engrish	english
fri	friday
breku	break
ep	episode
leggy	laggy
shoopin	shopping
ovawotchu	overwatch
em	um
emm	um
em	them
kles	class
reech	rich
ttoo	too
subtle	subtle
mm	um
but	butt
