4hed	4head
afta	after
agan	again
agoo	ago
aite	aite
ak	austin
al	all
alivee	alive
almos	almost
alrdy	already
alredy	already
alson	alson
alweys	always
ang	thing
animu	anime
anoos	anus
anoose	anus
apad	apad
askin	asking
autismo	autism
azn	asian
b	bad
b4	before
bak	back
bakin	baking
baku	bake,back
ballz	balls
bandwagonin	bandwagoning
bb	baby
bbsittin	babysitting
be	is,be
bebe	baby
bebes	babies
beet	bit
beetu	bit
befo	before
bein	being
bek	back
bekin	baking
bekk	back
berb	be right back
berx2	bye
bestest	best
beter	better
betta	better
bik	big
blak	black
boi	boy
bois	boys
boobies	boobs
bout	about
bred	bread
brek	black
brinin	bringing
buildin	building
bux	bucks
buyin	buying
c	see
cakes	cakes
canceled	cancelled
changin	changing
chino	chinese
chocoratee	chocolate
cleep	clip
clubbin	clubbing
cn	can
cnt	can't
cntu	can't
cobid	covid
codu	code
comin	coming
compu	comp
confus	confused
cookin	cooking
coom	come
coomin	coming
cooom	come
creepto	crypto
cri	cry
cripples	cripples
crus	crust
cud	could
cudda	could've
cuddnt	couldn't
cuz	cause
d	down
da	yes,the
daa	yes
dafuq	the fuck,what the fuck
das	that's
dat	that
dayy	day
ded	dead
dedded	dead
dedpool	deadpool
deed	did
deednt	didn't
dees	these
deescood	discord
def	definitely
dek	don't know
deliva	deliver
dem	them
den	then
der	there
det	that
dey	they
deys	days
din	dinner
dinna	dinner
dis	this
disc	discord
dmg	damage
docta	doctor
doe	though
doin	doing
don	done
donezo	done
doo	do
dood	dude
dooen	done
doon	done
dooo	do
dose	those
driv	drive
drivin	driving
dum	dumb
dun	don't
dw	don't worry
eben	even
een	in
ees	is
eet	it
em	um,them
emm	um
englando	english
err	every
errone	everyone
errtiem	everytime
errtin	everything
es	is
esk	ask
esked	asked
eskin	asking
esplain	explain
et	eat,at
eten	eating
etin	eating
eva	ever
evar	ever
evr	ever
ey	ay
eyy	ayy
feelin	feeling
feelsbedfam	feelsbadman
feesh	fish
feex	fix
fem	fam
fep	fap
feppen	fapping
feppin	fapping
fet	fat
fien	fine
filty	filthy
findin	finding
fini	finished
firs	first
firstu	first
fite	fight
fo	for
fod	food
fods	food
foeva	forever
fogot	forgot
fom	fam
foods	food
fooien	fine
fouled	fouled
fran	friend
fren	friend
frends	friends
frideyy	friday
gam	game
gams	games
gamu	game
garbo	garbage
gawd	god
ges	guess
gess	guess
gettin	getting
getu	get
gey	gay
geys	guys
ggg	gg
gib	give
gimmi	give me
gl	good luck
goin	going
gon	gone
goomi	gummy
gordo	fat
greif	grief
gril	girl
grill	girl
grills	girls
gu	go
gucci	good
gud	good
guen	going
guin	going
guise	guys
guises	guys
gun	going to
gunna	going to
guu	go
haf	have
hai	hi
haio	hi
halp	help
happenin	happening
har	here
harro	hello
hath	has
hav	have
haw	how
hawt	hot
hay	hey
hbd	happy birthday
hed	had
heem	him
hef	have
heimey dongey	heimerdinger
hen	han
hep	happy
heppy	happy
herd	hard,heard
hes	has
hitched	hitched
holup	hold up
hom	home
hommer	home
hoow	how
hullo	hello
hvnt	haven't
hw	homework
ic	i see
icic	i see
icri	i cry
id	i'm down,i'd,id
idek	i don't know
idekk	i don't know
idekked	i don't know
idik	i don't know
ii	i
ik	i know
iker	ikea
ikr	i know right
im	i'm
